Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
10858,503.77,474.95,1.4099999999999682,1.349999999999966
10876,505.28,476.28,1.509999999999991,1.329999999999984
10893,506.85,477.61,1.57000000000005,1.330000000000041
10911,508.38,478.97,1.5299999999999727,1.3600000000000136
10928,509.84,480.3,1.4599999999999795,1.329999999999984
10945,511.28,481.63,1.4399999999999977,1.329999999999984
10964,512.66,483.01,1.3799999999999955,1.3799999999999955
10981,514.04,484.34,1.3799999999999955,1.329999999999984
10998,515.37,485.67,1.330000000000041,1.330000000000041
11015,516.7,487.1,1.330000000000041,1.4300000000000068
11032,518.09,488.38,1.3899999999999864,1.2799999999999727
11050,519.39,489.3,1.2999999999999545,0.9200000000000159
11067,520.9,490.42,1.509999999999991,1.1200000000000045
11085,522.41,491.9,1.509999999999991,1.4799999999999613
11103,523.8,493.21,1.3899999999999864,1.3100000000000023
11120,525.26,494.8,1.4600000000000364,1.5900000000000318
11137,526.3,495.79,1.0399999999999636,0.9900000000000091
11154,527.55,497.04,1.25,1.25
11171,528.83,498.08,1.2800000000000864,1.0399999999999636
11188,530.32,499.31,1.490000000000009,1.2300000000000182
11206,531.98,500.64,1.6599999999999682,1.329999999999984
11221,533.58,501.97,1.6000000000000227,1.330000000000041
11238,535.11,503.33,1.5299999999999727,1.3599999999999568
11257,536.89,504.92,1.7799999999999727,1.5900000000000318
11273,538.09,505.72,1.2000000000000455,0.8000000000000114
11291,539.55,506.87,1.4599999999999227,1.1499999999999773
11309,540.93,508.1,1.3799999999999955,1.2300000000000182
11326,542.23,509.4,1.3000000000000682,1.2999999999999545
